"customer_id","first_name","amount"
341,"Peter","7.99"
341,"Peter","1.99"
341,"Peter","7.99"
341,"Peter","2.99"
341,"Peter","7.99"
341,"Peter","5.99"
342,"Harold","5.99"
342,"Harold","5.99"
342,"Harold","2.99"
343,"Douglas","4.99"
343,"Douglas","6.99"
343,"Douglas","0.99"
343,"Douglas","0.99"
343,"Douglas","6.99"
343,"Douglas","8.99"
343,"Douglas","0.99"
344,"Henry","3.99"
344,"Henry","4.99"
344,"Henry","0.99"
345,"Carl","0.99"
345,"Carl","4.99"
345,"Carl","0.99"
345,"Carl","4.99"
346,"Arthur","5.99"
346,"Arthur","2.99"
346,"Arthur","2.99"
347,"Ryan","8.99"
347,"Ryan","0.99"
347,"Ryan","4.99"
347,"Ryan","8.99"
347,"Ryan","7.99"
348,"Roger","2.99"
348,"Roger","8.99"
348,"Roger","0.99"
349,"Joe","2.99"
349,"Joe","0.99"
349,"Joe","6.99"
349,"Joe","8.99"
350,"Juan","3.99"
350,"Juan","0.99"
350,"Juan","2.99"
350,"Juan","0.99"
351,"Jack","5.99"
351,"Jack","0.99"
351,"Jack","2.99"
352,"Albert","0.99"
352,"Albert","4.99"
352,"Albert","4.99"
352,"Albert","4.99"
352,"Albert","4.99"
353,"Jonathan","2.99"
353,"Jonathan","7.99"
353,"Jonathan","6.99"
354,"Justin","0.99"
354,"Justin","4.99"
354,"Justin","6.99"
354,"Justin","2.99"
355,"Terry","0.99"
355,"Terry","2.99"
356,"Gerald","0.99"
356,"Gerald","2.99"
356,"Gerald","4.99"
357,"Keith","5.99"
357,"Keith","1.99"
357,"Keith","1.99"
357,"Keith","6.99"
358,"Samuel","2.99"
358,"Samuel","0.99"
358,"Samuel","5.99"
358,"Samuel","2.99"
358,"Samuel","2.99"
358,"Samuel","2.99"
359,"Willie","4.99"
359,"Willie","1.99"
359,"Willie","0.99"
359,"Willie","4.99"
360,"Ralph","0.99"
360,"Ralph","6.99"
360,"Ralph","3.99"
360,"Ralph","6.99"
361,"Lawrence","4.99"
361,"Lawrence","1.99"
361,"Lawrence","2.99"
361,"Lawrence","2.99"
362,"Nicholas","2.99"
362,"Nicholas","2.99"
362,"Nicholas","2.99"
362,"Nicholas","2.99"
362,"Nicholas","2.99"
363,"Roy","4.99"
363,"Roy","4.99"
363,"Roy","4.99"
363,"Roy","4.99"
363,"Roy","2.99"
364,"Benjamin","2.99"
364,"Benjamin","2.99"
364,"Benjamin","4.99"
364,"Benjamin","4.99"
364,"Benjamin","3.99"
365,"Bruce","1.99"
365,"Bruce","6.99"
365,"Bruce","4.99"
365,"Bruce","2.99"
365,"Bruce","0.99"
366,"Brandon","1.99"
366,"Brandon","0.99"
367,"Adam","0.99"
368,"Harry","0.99"
368,"Harry","9.99"
368,"Harry","4.99"
368,"Harry","4.99"
368,"Harry","4.99"
368,"Harry","4.99"
369,"Fred","0.99"
370,"Wayne","6.99"
371,"Billy","2.99"
371,"Billy","1.99"
371,"Billy","6.99"
371,"Billy","5.99"
371,"Billy","0.99"
371,"Billy","3.99"
371,"Billy","0.99"
372,"Steve","2.99"
372,"Steve","4.99"
372,"Steve","3.99"
373,"Louis","6.99"
373,"Louis","2.99"
374,"Jeremy","1.99"
374,"Jeremy","1.99"
374,"Jeremy","4.99"
374,"Jeremy","2.99"
375,"Aaron","2.99"
375,"Aaron","5.99"
375,"Aaron","4.99"
376,"Randy","0.99"
376,"Randy","0.99"
377,"Howard","3.99"
377,"Howard","1.99"
377,"Howard","0.99"
377,"Howard","2.99"
377,"Howard","4.99"
378,"Eugene","4.99"
378,"Eugene","5.99"
378,"Eugene","7.99"
378,"Eugene","4.99"
379,"Carlos","8.99"
379,"Carlos","5.99"
379,"Carlos","2.99"
380,"Russell","3.99"
380,"Russell","2.99"
380,"Russell","3.99"
380,"Russell","2.99"
380,"Russell","4.99"
380,"Russell","1.99"
380,"Russell","1.99"
380,"Russell","4.99"
381,"Bobby","3.99"
381,"Bobby","1.99"
381,"Bobby","2.99"
381,"Bobby","4.99"
381,"Bobby","2.99"
382,"Victor","0.99"
382,"Victor","4.99"
